alarm: baseline=9, current=9, changed_or_missing=0
armory: baseline=18, current=18, changed_or_missing=0
armory_shift: baseline=1, current=1, changed_or_missing=0
backup: baseline=3, current=3, changed_or_missing=0
cabinet: baseline=321, current=321, changed_or_missing=0
custody: baseline=6169, current=6169, changed_or_missing=0
device: baseline=126, current=126, changed_or_missing=0
eligibility: baseline=1475, current=1475, changed_or_missing=0
event: baseline=24426, current=24428, changed_or_missing=0
export_log: baseline=0, current=0, changed_or_missing=0
item: baseline=2065, current=2065, changed_or_missing=0
mode: baseline=1, current=1, changed_or_missing=0
officer: baseline=295, current=295, changed_or_missing=0
region: baseline=14, current=14, changed_or_missing=0
setting: baseline=12, current=16, changed_or_missing=0
settings_audit: baseline=0, current=0, changed_or_missing=0
shift: baseline=176, current=176, changed_or_missing=0
unit: baseline=18, current=18, changed_or_missing=0
user: baseline=6, current=7, changed_or_missing=0
PASS: every original row is present unchanged; additive rows/tables are allowed.
